nivel;classe;padrao;vb;gdac;gdac_80;gdac_100;auxilio_alimentacao;ativo_80;ativo_100;gdac_50;aposentado_50;vigencia
INTERMEDIÁRIO;ESPECIAL;V;2825.5;29.55;2364.0;2955.0;1175.0;6364.5;6955.5;1477.5;4303.0;01/04/2026
INTERMEDIÁRIO;ESPECIAL;IV;2790.62;29.36;2348.8;2936.0;1175.0;6314.42;6901.62;1468.0;4258.62;01/04/2026
INTERMEDIÁRIO;ESPECIAL;III;2756.17;29.15;2332.0;2915.0;1175.0;6263.17;6846.17;1457.5;4213.67;01/04/2026
INTERMEDIÁRIO;ESPECIAL;II;2722.14;28.89;2311.2;2889.0;1175.0;6208.34;6786.139999999999;1444.5;4166.639999999999;01/04/2026
INTERMEDIÁRIO;ESPECIAL;I;2688.53;28.69;2295.2;2869.0;1175.0;6158.73;6732.530000000001;1434.5;4123.030000000001;01/04/2026
INTERMEDIÁRIO;C;V;2635.81;28.5;2280.0;2850.0;1175.0;6090.8099999999995;6660.8099999999995;1425.0;4060.81;01/04/2026
INTERMEDIÁRIO;C;IV;2603.27;28.33;2266.4;2833.0;1175.0;6044.67;6611.27;1416.5;4019.77;01/04/2026
INTERMEDIÁRIO;C;III;2571.13;28.14;2251.2;2814.0;1175.0;5997.33;6560.13;1407.0;3978.13;01/04/2026
INTERMEDIÁRIO;C;II;2539.39;27.96;2236.8;2796.0;1175.0;5951.1900000000005;6510.389999999999;1398.0;3937.39;01/04/2026
INTERMEDIÁRIO;C;I;2508.04;27.72;2217.6;2772.0;1175.0;5900.639999999999;6455.04;1386.0;3894.04;01/04/2026
INTERMEDIÁRIO;B;V;2458.86;27.54;2203.2;2754.0;1175.0;5837.0599999999995;6387.860000000001;1377.0;3835.86;01/04/2026
INTERMEDIÁRIO;B;IV;2428.5;27.37;2189.6;2737.0;1175.0;5793.1;6340.5;1368.5;3797.0;01/04/2026
INTERMEDIÁRIO;B;III;2398.52;27.2;2176.0;2720.0;1175.0;5749.52;6293.52;1360.0;3758.52;01/04/2026
INTERMEDIÁRIO;B;II;2368.91;27.03;2162.4;2703.0;1175.0;5706.3099999999995;6246.91;1351.5;3720.41;01/04/2026
INTERMEDIÁRIO;B;I;2339.66;26.87;2149.6;2687.0;1175.0;5664.26;6201.66;1343.5;3683.16;01/04/2026
INTERMEDIÁRIO;A;V;2293.78;26.66;2132.8;2666.0;1175.0;5601.58;6134.780000000001;1333.0;3626.78;01/04/2026
INTERMEDIÁRIO;A;IV;2265.46;26.51;2120.8;2651.0;1175.0;5561.26;6091.46;1325.5;3590.96;01/04/2026
INTERMEDIÁRIO;A;III;2237.49;26.36;2108.8;2636.0;1175.0;5521.29;6048.49;1318.0;3555.49;01/04/2026
INTERMEDIÁRIO;A;II;2209.87;26.2;2096.0;2620.0;1175.0;5480.87;6004.87;1310.0;3519.87;01/04/2026
INTERMEDIÁRIO;A;I;2182.59;26.05;2084.0;2605.0;1175.0;5441.59;5962.59;1302.5;3485.09;01/04/2026
